epoch,val_loss,val_auc,precision,recall,f1_score,lr,train_time,val_time,epoch_time
1,0.24984172243963587,0.6910134819398848,0.5098722415795587,0.1345250255362615,0.21288289016406692,0.0005,33.06376004219055,20.5280601978302,53.59182024002075
2,0.2455244482918219,0.7154510810462009,0.5577464788732395,0.10112359550561797,0.17120622568093385,0.0005,32.65673327445984,20.436501502990723,53.09323477745056
3,0.24683297086845746,0.7234663402108065,0.5696296296296296,0.07854954034729315,0.13806104129263913,0.0005,34.51770615577698,21.420732736587524,55.9384388923645
4,0.24913268996910615,0.7257409797889725,0.531540847983454,0.1575076608784474,0.24300685525175322,0.0005,34.666401863098145,21.12661576271057,55.793017625808716
5,0.2520372507247058,0.7408097594069567,0.4638349514563107,0.19519918283963228,0.27476635514018694,0.0005,35.02063798904419,21.17590570449829,56.19654369354248
6,0.23760938915339383,0.7570266866133533,0.5706447187928669,0.16996935648621042,0.26192350070832676,0.0005,34.98696994781494,21.817806482315063,56.804776430130005
7,0.24221781329675154,0.7549512007061885,0.5218246165945734,0.1355464759959142,0.21519500527041271,0.0005,34.71764326095581,22.219849109649658,56.93749237060547
8,0.24042109901254827,0.7620506370353205,0.514102564102564,0.20480081716036772,0.2929145361577794,0.0005,35.951611042022705,20.66184639930725,56.613457441329956
9,0.23351758244362744,0.7684764721209741,0.5965500718735026,0.127170582226762,0.20964890123768629,0.0005,34.48351263999939,20.737955570220947,55.22146821022034
10,0.23247811171141539,0.7676392008656242,0.5674511103745442,0.1748723186925434,0.26735379089560396,0.0005,33.32791805267334,20.69355344772339,54.02147150039673
11,0.2355203528295864,0.7643928792956589,0.5526695526695526,0.19560776302349336,0.2889475669558657,0.0005,41.38708710670471,21.254884719848633,62.641971826553345
12,0.25007951042868876,0.7697210053182488,0.43910969793322735,0.14106230847803883,0.21352918438345575,0.0005,41.468878746032715,20.58587908744812,62.054757833480835
13,0.23921107107942755,0.7657271344421838,0.5389396709323583,0.15056179775280898,0.2353692614770459,0.0005,41.57699656486511,20.863210678100586,62.4402072429657
14,0.2422757843678648,0.7694706860661493,0.5149467117234209,0.20234933605720123,0.2905331084549388,5e-05,41.56905698776245,20.745519399642944,62.314576387405396
15,0.22675155834718183,0.7854380260553432,0.5821998817267889,0.20112359550561798,0.29896750683267537,5e-05,41.56763815879822,21.13103222846985,62.698670387268066
16,0.2259794745932926,0.7880351318449699,0.5803667745415318,0.2198161389172625,0.3188620536375759,5e-05,37.35014724731445,21.110674381256104,58.46082162857056
17,0.22531868409026753,0.7887353238527118,0.5843289802722978,0.21481103166496424,0.3141384718799014,5e-05,41.58558964729309,21.091726779937744,62.677316427230835
18,0.22487590312957764,0.7912536025611796,0.5777356446370531,0.21787538304392237,0.3164218958611482,5e-05,34.36514759063721,21.07094955444336,55.436097145080566
19,0.2247201918201013,0.7938690133831503,0.5774869109947643,0.22533197139938713,0.32417340191036004,5e-05,35.23103976249695,21.14695143699646,56.37799119949341
20,0.2243975352157246,0.7935796029048912,0.5855755894590846,0.2156281920326864,0.31519223590892126,5e-05,34.384793758392334,22.888685941696167,57.2734797000885
